#{"t_start": 1608095768.822646, "env_id": null}
r,l,t
0,1,9.265647
0,1,9.272277
0,1,9.279051
0,1,9.315616
0,1,9.322065
0,1,9.328408
0,1,9.334508
0,1,9.340885
0,1,9.377828
0,1,9.384318
0,1,9.390613
0,1,9.397204
0,1,9.403834
0,1,9.441272
0,1,9.44727
0,1,9.454527
0,1,9.460086
0,1,9.466063
0,1,9.501734
0,1,9.508344
0,1,9.514977
0,1,9.52155
0,1,9.528271
0,1,9.564724
0,1,9.571595
0,1,9.577747
0,1,9.583741
0,1,9.589843
0,1,9.626409
0,1,9.632247
0,1,9.638793
0,1,9.644847
0,1,9.651326
0,1,9.689058
0,1,9.695087
0,1,9.701492
0,1,9.707509
0,1,9.714129
0,1,9.75109
0,1,9.757358
0,1,9.762946
0,1,9.769412
0,1,9.77589
0,1,9.812383
0,1,9.818386
0,1,9.825155
0,1,9.831257
0,1,9.837993
0,1,9.876176
0,1,9.882363
0,1,9.888936
0,1,9.895321
0,1,9.901409
0,1,9.937233
0,1,9.943209
0,1,9.949489
0,1,9.956319
0,1,9.962649
0,1,10.00185
0,1,10.008265
0,1,10.014401
0,1,10.020898
0,1,10.02781
0,1,10.070843
0,1,10.077146
0,1,10.08359
0,1,10.089268
0,1,10.095935
0,1,10.132392
0,1,10.139116
0,1,10.145151
0,1,10.152304
0,1,10.157953
0,1,10.194634
0,1,10.20079
0,1,10.207886
0,1,10.213769
0,1,10.219838
0,1,10.255943
0,1,10.26272
0,1,10.269161
0,1,10.275748
0,1,10.281937
0,1,10.319652
0,1,10.326349
0,1,10.332829
0,1,10.339568
0,1,10.345914
0,1,10.382813
0,1,10.388895
0,1,10.395676
0,1,10.402009
0,1,10.408548
0,1,10.444124
0,1,10.450093
0,1,10.45739
0,1,10.463362
0,1,10.469927
0,1,10.506277
0,1,10.512799
0,1,10.518911
0,1,10.524886
0,1,10.531574
0,1,10.56979
0,1,10.576141
0,1,10.583035
0,1,10.589365
0,1,10.595134
0,1,10.631874
0,1,10.638293
0,1,10.644426
0,1,10.650974
0,1,10.656904
0,1,10.693172
0,1,10.700183
0,1,10.706873
0,1,10.713448
0,1,10.720101
0,1,10.756932
0,1,10.763333
0,1,10.769943
0,1,10.775979
0,1,10.782898
0,1,10.818753
0,1,10.824394
0,1,10.830642
0,1,10.838383
0,1,10.844723
0,1,10.881922
0,1,10.888276
0,1,10.895002
0,1,10.901284
0,1,10.907783
0,1,10.94339
0,1,10.949949
0,1,10.956783
0,1,10.963462
0,1,10.96985
0,1,11.006718
0,1,11.013572
0,1,11.020002
0,1,11.02595
0,1,11.031653
0,1,11.074581
0,1,11.081353
0,1,11.087689
0,1,11.094179
0,1,11.100306
0,1,11.140651
0,1,11.147287
0,1,11.160594
0,1,11.16667
0,1,11.173114
0,1,11.211461
0,1,11.217762
0,1,11.225689
0,1,11.2419
0,1,11.248902
0,1,11.28454
0,1,11.29121
0,1,11.29757
0,1,11.304247
0,1,11.310111
0,1,11.346436
0,1,11.352719
0,1,11.359247
0,1,11.365957
0,1,11.372379
0,1,11.412935
0,1,11.419733
0,1,11.425915
0,1,11.43263
0,1,11.438997
0,1,11.476562
0,1,11.483212
0,1,11.489468
0,1,11.495402
0,1,11.501302
0,1,11.539473
0,1,11.546283
0,1,11.553032
0,1,11.562131
0,1,11.571223
0,1,11.607605
0,1,11.614182
0,1,11.62066
0,1,11.627557
0,1,11.633899
0,1,11.67019
0,1,11.676625
0,1,11.682303
0,1,11.68885
0,1,11.695809
0,1,11.731902
0,1,11.738543
0,1,11.744892
0,1,11.751354
0,1,11.768931
0,1,11.818238
0,1,11.825073
0,1,11.831571
0,1,11.838427
0,1,11.844835
0,1,11.880669
5,1,11.886697
0,1,11.893366
0,1,11.89957
0,1,11.906469
0,1,11.943717
0,1,11.94978
0,1,11.956368
0,1,11.962552
0,1,11.969133
0,1,12.004712
0,1,12.011121
0,1,12.017427
0,1,12.023359
0,1,12.030162
0,1,12.066116
0,1,12.075908
0,1,12.082948
0,1,12.089526
0,1,12.095706
0,1,12.131951
0,1,12.138676
0,1,12.151789
0,1,12.159043
0,1,12.166037
0,1,12.202964
0,1,12.209265
0,1,12.215608
0,1,12.222023
0,1,12.228753
0,1,12.269564
0,1,12.275985
0,1,12.282722
0,1,12.288979
0,1,12.294788
0,1,12.329919
0,1,12.337907
0,1,12.344465
0,1,12.351385
0,1,12.357824
0,1,12.394889
0,1,12.40146
0,1,12.408491
0,1,12.414805
0,1,12.421773
0,1,12.458439
0,1,12.464413
0,1,12.471103
0,1,12.477678
0,1,12.484353
0,1,12.521793
0,1,12.528288
0,1,12.534113
0,1,12.542612
0,1,12.549289
0,1,12.586393
0,1,12.593255
0,1,12.59888
0,1,12.604914
0,1,12.611215
0,1,12.647387
0,1,12.654088
0,1,12.661562
0,1,12.66817
0,1,12.675413
0,1,12.714935
0,1,12.721027
0,1,12.727411
0,1,12.739093
0,1,12.745974
0,1,12.782248
0,1,12.788968
0,1,12.795257
0,1,12.801459
0,1,12.808305
0,1,12.844069
0,1,12.850225
0,1,12.856677
0,1,12.862416
0,1,12.868748
