#{"t_start": 1608095768.815317, "env_id": null}
r,l,t
0,1,2.022905
0,1,2.030687
0,1,2.037221
0,1,2.043775
0,1,2.052317
0,1,4.868112
0,1,4.877209
0,1,4.886202
0,1,4.893333
0,1,4.900129
0,1,4.938537
0,1,4.947247
0,1,4.953227
0,1,4.959959
0,1,4.966221
0,1,5.000195
0,1,5.006272
0,1,5.012606
0,1,5.019152
0,1,5.025398
0,1,5.076027
0,1,5.08223
0,1,5.088503
5,1,5.095102
0,1,5.102764
0,1,5.141419
0,1,5.147755
0,1,5.154428
0,1,5.160857
0,1,5.167505
0,1,5.204942
0,1,5.211402
0,1,5.217625
0,1,5.224199
0,1,5.230832
0,1,5.269145
0,1,5.276159
0,1,5.283052
0,1,5.290187
0,1,5.29656
0,1,5.334914
0,1,5.341792
0,1,5.347738
0,1,5.354296
0,1,5.361159
0,1,5.398332
0,1,5.40476
0,1,5.410621
0,1,5.416416
0,1,5.422609
0,1,5.460892
0,1,5.467542
0,1,5.474136
0,1,5.480833
0,1,5.48734
0,1,5.525746
0,1,5.532543
0,1,5.539177
0,1,5.545623
0,1,5.551952
0,1,5.58963
0,1,5.59604
0,1,5.602719
0,1,5.609014
0,1,5.614949
0,1,5.652108
0,1,5.658098
0,1,5.664997
0,1,5.671548
0,1,5.678716
0,1,5.717366
0,1,5.723903
0,1,5.731088
0,1,5.737398
0,1,5.743565
0,1,5.780001
0,1,5.786002
0,1,5.792199
0,1,5.799017
0,1,5.805189
0,1,5.843937
0,1,5.850826
0,1,5.857033
0,1,5.863556
0,1,5.870275
0,1,5.910726
0,1,5.917403
0,1,5.924671
0,1,5.930585
0,1,5.936408
0,1,5.974135
0,1,5.980384
0,1,5.987052
0,1,5.998789
0,1,6.006037
0,1,6.041513
0,1,6.048569
0,1,6.055039
0,1,6.063145
0,1,6.069934
0,1,6.106828
0,1,6.113276
0,1,6.119896
0,1,6.12655
0,1,6.133163
0,1,6.168612
0,1,6.175402
0,1,6.182121
0,1,6.188738
0,1,6.194824
0,1,6.233016
0,1,6.239307
0,1,6.245476
0,1,6.251844
0,1,6.257385
0,1,6.294166
0,1,6.300194
0,1,6.307099
0,1,6.313584
0,1,6.31995
0,1,6.35665
0,1,6.362478
0,1,6.368705
0,1,6.375677
0,1,6.381605
0,1,6.419578
0,1,6.426416
0,1,6.433517
0,1,6.439661
0,1,6.447557
0,1,6.482295
0,1,6.488624
0,1,6.496573
0,1,6.502319
0,1,6.508525
0,1,6.546786
5,1,6.553496
0,1,6.560024
0,1,6.567163
0,1,6.573342
0,1,6.610351
0,1,6.617196
0,1,6.623776
0,1,6.63032
0,1,6.63736
0,1,6.674209
0,1,6.680743
0,1,6.688952
0,1,6.699789
0,1,6.711717
0,1,6.750796
0,1,6.757439
0,1,6.764376
0,1,6.770692
0,1,6.77858
0,1,6.813131
0,1,6.819392
0,1,6.825736
0,1,6.832405
0,1,6.838681
0,1,6.874378
0,1,6.881292
0,1,6.887068
0,1,6.893379
0,1,6.900007
0,1,6.936377
0,1,6.942353
0,1,6.948814
0,1,6.955398
0,1,6.961332
0,1,6.99853
0,1,7.004644
0,1,7.01063
0,1,7.017393
0,1,7.023961
0,1,7.06494
0,1,7.071064
0,1,7.077177
0,1,7.083572
0,1,7.09155
0,1,7.127146
0,1,7.133916
0,1,7.14111
0,1,7.146736
0,1,7.152932
5,1,7.193177
0,1,7.199338
0,1,7.206257
0,1,7.21255
0,1,7.219306
0,1,7.255767
0,1,7.261897
0,1,7.26876
0,1,7.275983
0,1,7.28222
0,1,7.319441
0,1,7.326028
0,1,7.331613
0,1,7.338507
0,1,7.346178
0,1,7.382837
0,1,7.389038
0,1,7.395766
0,1,7.402419
0,1,7.408767
0,1,7.445375
0,1,7.451922
0,1,7.458075
0,1,7.464399
0,1,7.470697
0,1,7.506744
0,1,7.513547
0,1,7.520035
0,1,7.526304
0,1,7.532243
0,1,7.568185
0,1,7.574636
0,1,7.580307
0,1,7.586846
0,1,7.593016
0,1,7.629906
0,1,7.636363
0,1,7.643579
0,1,7.649356
0,1,7.656083
0,1,7.692331
0,1,7.69845
0,1,7.705929
0,1,7.712181
0,1,7.71845
0,1,7.756006
0,1,7.762513
0,1,7.768819
0,1,7.775617
0,1,7.782308
0,1,7.819879
0,1,7.82641
0,1,7.832359
0,1,7.83922
0,1,7.84541
0,1,7.882276
0,1,7.889375
0,1,7.895293
0,1,7.901752
0,1,7.908543
0,1,7.94466
0,1,7.951204
0,1,7.957758
0,1,7.963879
0,1,7.969631
0,1,8.008257
0,1,8.015374
0,1,8.021732
0,1,8.028728
0,1,8.034699
0,1,8.074444
0,1,8.079973
0,1,8.086283
0,1,8.091998
0,1,8.09841
0,1,8.134134
0,1,8.140292
0,1,8.146104
0,1,8.152717
0,1,8.160228
0,1,8.195672
0,1,8.202197
0,1,8.20838
0,1,8.21391
0,1,8.220564
0,1,8.256571
0,1,8.26309
0,1,8.270089
0,1,8.276201
0,1,8.28274
0,1,8.318709
0,1,8.324645
0,1,8.331359
0,1,8.337564
0,1,8.343578
0,1,8.380671
0,1,8.386169
0,1,8.39226
0,1,8.399095
0,1,8.405335
0,1,8.443363
0,1,8.449778
0,1,8.455519
0,1,8.46187
0,1,8.46864
0,1,8.50375
0,1,8.510388
0,1,8.517219
0,1,8.523366
0,1,8.529824
0,1,8.56754
0,1,8.573992
0,1,8.580459
0,1,8.586238
5,1,8.59247
0,1,8.628012
0,1,8.634385
0,1,8.640587
0,1,8.647044
0,1,8.653262
0,1,8.689463
0,1,8.695719
0,1,8.701656
0,1,8.708204
0,1,8.714266
0,1,8.750537
0,1,8.757194
0,1,8.763969
0,1,8.770259
5,1,8.776204
0,1,8.813062
0,1,8.819278
0,1,8.825776
0,1,8.832319
0,1,8.839061
0,1,8.875116
0,1,8.881975
0,1,8.888113
0,1,8.894804
0,1,8.901244
0,1,8.937145
0,1,8.943627
0,1,8.950035
0,1,8.955882
0,1,8.962529
0,1,8.999692
0,1,9.005871
0,1,9.013222
0,1,9.019718
0,1,9.026037
0,1,9.070646
0,1,9.078755
0,1,9.085808
0,1,9.09281
0,1,9.099863
0,1,9.136447
0,1,9.142958
0,1,9.149445
0,1,9.156227
0,1,9.162621
0,1,9.198632
0,1,9.20463
0,1,9.210539
0,1,9.216897
0,1,9.223401
0,1,9.260209
0,1,9.266469
0,1,9.272975
0,1,9.27957
0,1,9.286344
0,1,9.322815
0,1,9.329257
0,1,9.335693
0,1,9.341789
0,1,9.348177
0,1,9.385159
0,1,9.39165
0,1,9.39787
0,1,9.404488
0,1,9.411163
0,1,9.448381
0,1,9.454599
0,1,9.461341
0,1,9.467318
0,1,9.473359
0,1,9.508936
0,1,9.515673
0,1,9.522315
0,1,9.528871
0,1,9.535194
0,1,9.572039
0,1,9.578851
0,1,9.584892
0,1,9.590985
0,1,9.597093
0,1,9.633701
0,1,9.639576
0,1,9.646074
0,1,9.652124
0,1,9.658616
0,1,9.696348
0,1,9.702392
0,1,9.708314
0,1,9.714787
0,1,9.721382
0,1,9.758195
0,1,9.764687
0,1,9.770269
0,1,9.776733
0,1,9.783092
0,1,9.8197
0,1,9.8257
0,1,9.832478
0,1,9.838547
0,1,9.845259
0,1,9.883509
0,1,9.889692
0,1,9.89616
0,1,9.902639
0,1,9.908722
0,1,9.944346
0,1,9.950485
0,1,9.956809
0,1,9.963539
0,1,9.969935
0,1,10.009126
0,1,10.015526
0,1,10.021685
0,1,10.028196
0,1,10.035132
0,1,10.078105
0,1,10.08443
0,1,10.090843
0,1,10.096545
0,1,10.103261
0,1,10.139628
0,1,10.146366
0,1,10.152479
0,1,10.159138
0,1,10.165166
0,1,10.201534
0,1,10.208005
0,1,10.214548
0,1,10.220873
0,1,10.227158
0,1,10.263272
0,1,10.270033
0,1,10.276466
0,1,10.283073
0,1,10.289211
0,1,10.326949
0,1,10.333685
0,1,10.340123
0,1,10.346891
0,1,10.353194
0,1,10.39009
0,1,10.396219
0,1,10.402993
0,1,10.409307
0,1,10.415865
0,1,10.451437
0,1,10.457416
0,1,10.463947
0,1,10.470691
0,1,10.477233
0,1,10.51372
0,1,10.520095
0,1,10.526222
0,1,10.532201
0,1,10.538895
0,1,10.577131
0,1,10.583446
0,1,10.590363
0,1,10.596672
0,1,10.602454
0,1,10.639114
0,1,10.645608
0,1,10.651755
0,1,10.658268
0,1,10.664189
0,1,10.700402
0,1,10.707446
0,1,10.714167
0,1,10.720641
0,1,10.727401
0,1,10.764236
0,1,10.770645
0,1,10.77723
0,1,10.783305
0,1,10.789622
0,1,10.826082
0,1,10.831714
0,1,10.837966
0,1,10.84569
0,1,10.852049
0,1,10.889123
0,1,10.895565
0,1,10.90232
0,1,10.909176
0,1,10.915068
0,1,10.95071
0,1,10.957256
0,1,10.96407
0,1,10.970758
0,1,10.977192
0,1,11.014043
0,1,11.020892
0,1,11.027378
0,1,11.033169
0,1,11.038867
0,1,11.081883
5,1,11.088771
0,1,11.095006
0,1,11.101478
0,1,11.107596
0,1,11.147747
0,1,11.154432
0,1,11.16779
0,1,11.173883
0,1,11.180436
0,1,11.218701
0,1,11.225091
0,1,11.232669
0,1,11.249173
0,1,11.256169
0,1,11.29185
0,1,11.298531
0,1,11.304865
5,1,11.311649
0,1,11.317439
0,1,11.353664
0,1,11.360008
0,1,11.366569
0,1,11.373298
0,1,11.379703
0,1,11.420258
0,1,11.427024
0,1,11.433155
0,1,11.439335
0,1,11.446326
0,1,11.48388
0,1,11.490512
0,1,11.496768
0,1,11.502715
0,1,11.508589
0,1,11.54674
0,1,11.553597
0,1,11.560356
0,1,11.56871
0,1,11.578462
0,1,11.614841
0,1,11.621472
0,1,11.627952
0,1,11.634769
0,1,11.641219
0,1,11.67737
0,1,11.68379
0,1,11.689617
0,1,11.696177
0,1,11.703062
0,1,11.739241
5,1,11.74594
0,1,11.752172
0,1,11.758727
0,1,11.774116
