#{"t_start": 1608095768.8165472, "env_id": null}
r,l,t
0,1,2.021776
0,1,2.029473
0,1,2.036092
0,1,2.042641
0,1,2.051133
0,1,4.868082
0,1,4.8769
0,1,4.885059
0,1,4.892199
0,1,4.899001
0,1,4.937422
0,1,4.946158
0,1,4.952062
0,1,4.959287
0,1,4.965017
0,1,4.999386
0,1,5.005344
0,1,5.011488
0,1,5.018663
0,1,5.024556
0,1,5.075209
0,1,5.081463
0,1,5.087717
0,1,5.094574
0,1,5.102254
0,1,5.140305
0,1,5.146676
0,1,5.153294
0,1,5.159734
0,1,5.166381
0,1,5.203814
0,1,5.210267
0,1,5.216505
0,1,5.223077
0,1,5.229743
0,1,5.268182
0,1,5.275156
0,1,5.282021
0,1,5.289468
0,1,5.295431
0,1,5.333919
0,1,5.340659
0,1,5.346673
0,1,5.353896
0,1,5.360111
0,1,5.397217
0,1,5.403644
0,1,5.409742
0,1,5.415285
0,1,5.421589
0,1,5.459764
0,1,5.466449
0,1,5.473027
0,1,5.479785
0,1,5.486371
0,1,5.524624
0,1,5.53137
0,1,5.538121
0,1,5.544655
0,1,5.550903
0,1,5.589085
0,1,5.594933
0,1,5.601637
0,1,5.608109
0,1,5.613773
0,1,5.65097
0,1,5.656971
0,1,5.663861
0,1,5.670434
0,1,5.677593
0,1,5.716802
0,1,5.722981
0,1,5.729945
0,1,5.736306
0,1,5.742335
0,1,5.778885
0,1,5.784878
0,1,5.791179
0,1,5.797887
0,1,5.804027
0,1,5.842707
0,1,5.849638
0,1,5.855899
0,1,5.862557
0,1,5.869404
0,1,5.909647
0,1,5.91629
0,1,5.923555
0,1,5.929469
0,1,5.93538
0,1,5.973115
0,1,5.979253
0,1,5.985957
0,1,5.998035
0,1,6.005103
0,1,6.040762
0,1,6.047531
0,1,6.053918
0,1,6.062028
0,1,6.068815
0,1,6.105872
0,1,6.112138
0,1,6.118752
0,1,6.125496
0,1,6.132069
0,1,6.16762
0,1,6.174313
0,1,6.180993
0,1,6.187944
0,1,6.193705
0,1,6.231195
0,1,6.238138
0,1,6.244353
0,1,6.250322
0,1,6.256301
0,1,6.293097
0,1,6.299179
0,1,6.306008
0,1,6.312501
0,1,6.318481
0,1,6.355641
0,1,6.361339
0,1,6.367694
0,1,6.374482
0,1,6.380554
0,1,6.419182
0,1,6.425311
0,1,6.432338
0,1,6.438851
0,1,6.446011
0,1,6.481667
0,1,6.487969
0,1,6.494849
0,1,6.501324
0,1,6.507442
0,1,6.545759
0,1,6.552288
0,1,6.558931
0,1,6.56604
0,1,6.57267
0,1,6.609408
0,1,6.616087
0,1,6.622647
0,1,6.629219
0,1,6.636266
0,1,6.673743
0,1,6.680112
0,1,6.687892
0,1,6.700006
0,1,6.710612
0,1,6.749669
0,1,6.756476
0,1,6.763963
0,1,6.770374
0,1,6.777444
0,1,6.812128
0,1,6.818265
0,1,6.824744
0,1,6.831228
0,1,6.837596
0,1,6.873262
0,1,6.880185
0,1,6.885948
0,1,6.892299
0,1,6.898191
0,1,6.935261
0,1,6.941234
0,1,6.948189
0,1,6.954307
0,1,6.96023
0,1,6.997528
0,1,7.003461
0,1,7.009534
0,1,7.016353
0,1,7.022837
0,1,7.063459
0,1,7.069884
0,1,7.076102
0,1,7.082387
0,1,7.089883
0,1,7.126108
0,1,7.132833
0,1,7.139201
0,1,7.145655
0,1,7.15181
0,1,7.19192
0,1,7.198307
0,1,7.205129
0,1,7.211454
0,1,7.21822
0,1,7.254654
0,1,7.2608
0,1,7.267649
0,1,7.274862
0,1,7.281108
0,1,7.318299
0,1,7.3249
0,1,7.330523
0,1,7.337394
0,1,7.34505
0,1,7.381693
0,1,7.387907
0,1,7.395366
0,1,7.401366
0,1,7.407664
0,1,7.444264
0,1,7.450837
0,1,7.456956
0,1,7.463287
0,1,7.469588
0,1,7.505615
0,1,7.512834
0,1,7.518869
0,1,7.525172
0,1,7.531096
0,1,7.567409
0,1,7.573527
0,1,7.579179
0,1,7.585773
0,1,7.591952
0,1,7.628778
0,1,7.635257
0,1,7.641784
0,1,7.648365
0,1,7.654959
0,1,7.691255
0,1,7.697329
0,1,7.704348
0,1,7.711069
0,1,7.717527
0,1,7.754906
0,1,7.761448
0,1,7.767724
0,1,7.77453
0,1,7.78112
0,1,7.818757
0,1,7.825294
0,1,7.83113
0,1,7.838017
0,1,7.844329
0,1,7.881152
0,1,7.888296
0,1,7.894167
0,1,7.900665
0,1,7.907431
0,1,7.943586
0,1,7.949457
0,1,7.956696
0,1,7.962779
0,1,7.968532
0,1,8.006201
0,1,8.014346
0,1,8.020632
0,1,8.02761
0,1,8.033636
0,1,8.072757
0,1,8.078886
0,1,8.085153
0,1,8.090881
0,1,8.09732
0,1,8.133036
0,1,8.139037
0,1,8.144981
0,1,8.151673
0,1,8.158395
0,1,8.194638
0,1,8.201105
0,1,8.207154
0,1,8.212908
0,1,8.219365
0,1,8.255512
0,1,8.261854
0,1,8.26891
0,1,8.27516
0,1,8.281656
0,1,8.31764
0,1,8.323496
0,1,8.330147
0,1,8.336462
0,1,8.342559
0,1,8.378894
0,1,8.385036
0,1,8.391155
0,1,8.397975
0,1,8.404193
0,1,8.442235
0,1,8.44871
0,1,8.454392
0,1,8.460743
0,1,8.467479
0,1,8.502647
0,1,8.509248
0,1,8.516062
0,1,8.522315
0,1,8.528722
0,1,8.56646
0,1,8.573063
0,1,8.579319
0,1,8.58512
0,1,8.591273
0,1,8.626863
0,1,8.633296
0,1,8.639464
0,1,8.646224
0,1,8.652135
0,1,8.68833
5,1,8.694692
0,1,8.700545
0,1,8.707049
0,1,8.713309
0,1,8.749428
0,1,8.756021
0,1,8.763025
0,1,8.769184
0,1,8.775139
0,1,8.812026
0,1,8.818086
0,1,8.824726
0,1,8.831279
0,1,8.837948
0,1,8.874422
0,1,8.881119
0,1,8.887725
0,1,8.894298
0,1,8.900219
0,1,8.936362
0,1,8.942924
0,1,8.949027
0,1,8.955371
0,1,8.96202
0,1,8.999003
0,1,9.004892
0,1,9.012181
0,1,9.0186
0,1,9.024917
0,1,9.069554
0,1,9.077512
0,1,9.084965
0,1,9.091793
0,1,9.098657
0,1,9.135364
0,1,9.141836
0,1,9.148329
0,1,9.155112
0,1,9.161533
0,1,9.197538
0,1,9.203452
0,1,9.209441
0,1,9.215753
0,1,9.222317
0,1,9.259073
0,1,9.265334
0,1,9.271882
0,1,9.278455
0,1,9.285226
0,1,9.321851
0,1,9.328242
0,1,9.334665
0,1,9.34067
0,1,9.347055
0,1,9.384132
0,1,9.390531
0,1,9.396723
0,1,9.403297
0,1,9.410042
0,1,9.447251
0,1,9.453471
0,1,9.460014
0,1,9.466351
0,1,9.472236
0,1,9.507824
0,1,9.51465
0,1,9.521153
0,1,9.527777
0,1,9.534112
0,1,9.570957
0,1,9.577736
0,1,9.58376
0,1,9.589873
0,1,9.595949
0,1,9.632556
0,1,9.638593
0,1,9.644957
0,1,9.651082
0,1,9.657502
0,1,9.695225
0,1,9.70126
0,1,9.70694
0,1,9.713873
0,1,9.720312
0,1,9.757163
0,1,9.76356
0,1,9.769188
0,1,9.77565
0,1,9.782574
0,1,9.818612
0,1,9.824586
0,1,9.831393
0,1,9.837425
0,1,9.844084
0,1,9.882325
0,1,9.888585
0,1,9.895758
0,1,9.901547
0,1,9.907582
0,1,9.94338
0,1,9.94936
0,1,9.955705
0,1,9.963149
0,1,9.968825
0,1,10.008003
0,1,10.014452
0,1,10.02057
0,1,10.027076
0,1,10.034037
0,1,10.077022
0,1,10.083243
0,1,10.08969
0,1,10.095682
0,1,10.102159
5,1,10.138625
0,1,10.145393
0,1,10.151388
0,1,10.157962
0,1,10.164054
0,1,10.200435
0,1,10.206888
0,1,10.213558
0,1,10.21972
0,1,10.226076
0,1,10.262264
0,1,10.268981
0,1,10.275544
0,1,10.281987
0,1,10.288092
0,1,10.325823
0,1,10.332564
0,1,10.339007
0,1,10.345807
0,1,10.35208
0,1,10.388974
0,1,10.395116
0,1,10.401898
0,1,10.408178
0,1,10.41478
0,1,10.45038
0,1,10.456337
0,1,10.462862
0,1,10.469536
0,1,10.476099
0,1,10.512645
0,1,10.518985
0,1,10.525156
0,1,10.531113
0,1,10.537802
0,1,10.575933
0,1,10.582329
0,1,10.589244
0,1,10.595537
0,1,10.601357
0,1,10.638622
0,1,10.644549
0,1,10.650714
0,1,10.657145
0,1,10.66307
0,1,10.699382
0,1,10.707049
0,1,10.713043
0,1,10.720253
0,1,10.726288
0,1,10.763095
0,1,10.769509
0,1,10.776101
0,1,10.782225
0,1,10.788511
0,1,10.824835
0,1,10.830619
0,1,10.836885
0,1,10.844551
0,1,10.850956
0,1,10.888146
0,1,10.894387
0,1,10.901229
0,1,10.907652
0,1,10.913945
0,1,10.94968
0,1,10.956124
0,1,10.962957
0,1,10.969756
0,1,10.976017
0,1,11.012948
0,1,11.019775
0,1,11.026129
0,1,11.032036
0,1,11.037804
0,1,11.08076
0,1,11.087515
0,1,11.09391
0,1,11.10036
0,1,11.106485
0,1,11.146887
0,1,11.153628
0,1,11.166782
0,1,11.173038
0,1,11.179349
0,1,11.217698
0,1,11.224125
0,1,11.232398
0,1,11.247989
0,1,11.255124
0,1,11.290747
0,1,11.297457
0,1,11.303742
0,1,11.310416
0,1,11.316331
0,1,11.353257
0,1,11.358876
0,1,11.365471
0,1,11.372176
0,1,11.37855
0,1,11.419162
0,1,11.425902
0,1,11.432059
0,1,11.438386
0,1,11.44529
0,1,11.482852
0,1,11.489431
0,1,11.495645
0,1,11.501571
0,1,11.50747
0,1,11.545656
0,1,11.552452
0,1,11.559248
0,1,11.567756
0,1,11.577321
0,1,11.61375
0,1,11.62036
0,1,11.626832
0,1,11.634331
0,1,11.640154
0,1,11.676505
0,1,11.682769
0,1,11.68848
0,1,11.695075
0,1,11.702678
0,1,11.738066
0,1,11.744815
0,1,11.751221
0,1,11.757584
0,1,11.776813
0,1,11.82457
0,1,11.831395
0,1,11.83779
0,1,11.84464
0,1,11.851063
5,1,11.886953
0,1,11.892734
0,1,11.899633
0,1,11.905734
0,1,11.912807
0,1,11.949963
0,1,11.956017
0,1,11.962563
0,1,11.968723
0,1,11.975307
0,1,12.010889
0,1,12.017338
0,1,12.023836
0,1,12.029587
0,1,12.036421
0,1,12.072359
0,1,12.082175
0,1,12.089217
0,1,12.095669
0,1,12.101918
0,1,12.138201
0,1,12.144944
0,1,12.157946
0,1,12.165967
0,1,12.172302
0,1,12.209121
0,1,12.215531
0,1,12.222102
