#{"t_start": 1608095768.840425, "env_id": null}
r,l,t
0,1,1.998614
0,1,2.006302
0,1,2.012928
0,1,2.019399
0,1,2.027997
0,1,4.844782
0,1,4.853069
0,1,4.861961
0,1,4.86904
0,1,4.87576
0,1,4.913541
0,1,4.922297
0,1,4.928954
0,1,4.935005
0,1,4.941155
0,1,4.97525
0,1,4.981433
0,1,4.98761
0,1,4.994154
0,1,5.00037
0,1,5.050736
0,1,5.057126
0,1,5.063468
0,1,5.069953
0,1,5.077831
0,1,5.117093
0,1,5.123371
0,1,5.130059
0,1,5.136479
0,1,5.143212
0,1,5.180609
0,1,5.187057
5,1,5.193397
0,1,5.199923
0,1,5.206494
0,1,5.24487
0,1,5.251784
0,1,5.258732
0,1,5.265631
0,1,5.272193
0,1,5.310568
0,1,5.316992
0,1,5.323381
5,1,5.330202
0,1,5.33686
0,1,5.37398
0,1,5.379776
0,1,5.385896
0,1,5.392032
0,1,5.398241
0,1,5.43665
0,1,5.443185
0,1,5.449815
0,1,5.456442
0,1,5.462981
0,1,5.50139
0,1,5.508182
0,1,5.514696
0,1,5.521255
0,1,5.527591
0,1,5.565207
0,1,5.57179
0,1,5.577946
0,1,5.584231
0,1,5.590582
0,1,5.627111
0,1,5.633735
0,1,5.640637
0,1,5.647224
0,1,5.654417
0,1,5.69306
0,1,5.69965
0,1,5.706722
0,1,5.712444
0,1,5.718478
0,1,5.755613
0,1,5.761309
0,1,5.767921
0,1,5.773964
0,1,5.780224
0,1,5.818869
0,1,5.826451
0,1,5.832141
0,1,5.839268
0,1,5.845721
0,1,5.88642
0,1,5.893049
0,1,5.899712
0,1,5.905726
0,1,5.911942
0,1,5.949799
0,1,5.956083
0,1,5.962656
0,1,5.97445
0,1,5.981685
0,1,6.017332
0,1,6.024205
0,1,6.030672
0,1,6.03875
0,1,6.045081
0,1,6.082536
0,1,6.088956
0,1,6.09555
0,1,6.102228
0,1,6.108635
0,1,6.144404
0,1,6.151085
0,1,6.157871
0,1,6.164132
0,1,6.170493
0,1,6.207498
0,1,6.214694
0,1,6.220487
0,1,6.226458
0,1,6.232991
0,1,6.269446
0,1,6.27584
0,1,6.282725
0,1,6.288702
0,1,6.294694
0,1,6.332118
0,1,6.338127
0,1,6.344438
0,1,6.350669
0,1,6.357237
0,1,6.395348
0,1,6.402055
0,1,6.409142
0,1,6.415628
0,1,6.422261
0,1,6.457964
0,1,6.464378
0,1,6.471391
0,1,6.477943
0,1,6.484204
0,1,6.522532
0,1,6.528997
0,1,6.535248
0,1,6.542824
0,1,6.54874
0,1,6.586057
0,1,6.592889
0,1,6.5995
0,1,6.605976
0,1,6.612973
0,1,6.649983
0,1,6.656431
0,1,6.665591
0,1,6.676407
0,1,6.687496
0,1,6.726457
0,1,6.733071
0,1,6.740246
0,1,6.746496
0,1,6.753969
0,1,6.788591
0,1,6.794574
0,1,6.80135
0,1,6.807671
0,1,6.813727
0,1,6.85002
0,1,6.856365
0,1,6.862092
0,1,6.868422
0,1,6.8743
0,1,6.911606
0,1,6.918001
0,1,6.924318
0,1,6.930753
0,1,6.937028
0,1,6.973934
0,1,6.979607
0,1,6.986277
0,1,6.993023
0,1,6.999374
0,1,7.039647
5,1,7.046731
0,1,7.05279
0,1,7.059241
0,1,7.066073
0,1,7.102865
0,1,7.109576
0,1,7.115776
0,1,7.122353
0,1,7.128609
0,1,7.168643
0,1,7.174948
0,1,7.181981
0,1,7.188176
0,1,7.194972
0,1,7.231199
0,1,7.237539
0,1,7.244408
0,1,7.251607
0,1,7.257326
0,1,7.295079
0,1,7.30107
0,1,7.30725
0,1,7.314153
0,1,7.321821
0,1,7.358432
0,1,7.364715
0,1,7.371555
0,1,7.378186
0,1,7.384162
0,1,7.420608
0,1,7.427533
0,1,7.43371
0,1,7.440059
0,1,7.44631
0,1,7.481737
0,1,7.489278
0,1,7.495642
0,1,7.501372
0,1,7.507731
0,1,7.54357
0,1,7.549646
0,1,7.556045
0,1,7.562474
