#{"t_start": 1608093791.105864, "env_id": null}
r,l,t
0,1,1.915493
0,1,1.924894
0,1,1.930492
0,1,1.937197
0,1,1.944606
0,1,4.656616
0,1,4.665191
0,1,4.671641
0,1,4.677657
0,1,4.686346
0,1,4.730623
0,1,4.737668
0,1,4.744709
0,1,4.750732
0,1,4.756973
0,1,4.793405
0,1,4.798964
0,1,4.804464
0,1,4.810619
0,1,4.816137
0,1,4.850852
0,1,4.857017
5,1,4.86371
0,1,4.869683
0,1,4.875856
0,1,4.913123
0,1,4.9192
0,1,4.926845
0,1,4.933517
0,1,4.939434
0,1,4.980531
0,1,4.990667
0,1,4.998158
0,1,5.004417
0,1,5.011013
0,1,5.045806
0,1,5.052218
0,1,5.05832
0,1,5.064897
0,1,5.070741
0,1,5.104634
0,1,5.110919
0,1,5.117069
0,1,5.123906
0,1,5.13133
0,1,5.172805
0,1,5.179525
0,1,5.185681
0,1,5.19229
0,1,5.199181
0,1,5.234714
0,1,5.24077
0,1,5.247339
0,1,5.253509
0,1,5.260124
0,1,5.294295
0,1,5.300201
0,1,5.306374
0,1,5.314242
0,1,5.32303
0,1,5.360088
0,1,5.367273
0,1,5.373178
0,1,5.380045
0,1,5.386283
0,1,5.42833
0,1,5.436354
0,1,5.445838
0,1,5.453195
0,1,5.459644
0,1,5.495985
5,1,5.5021
0,1,5.508878
0,1,5.515079
0,1,5.522687
0,1,5.557915
0,1,5.563964
0,1,5.570255
0,1,5.577021
0,1,5.582888
0,1,5.62966
0,1,5.637868
0,1,5.643686
0,1,5.649935
0,1,5.656073
0,1,5.698092
0,1,5.705139
0,1,5.711688
0,1,5.719077
0,1,5.72628
0,1,5.763379
0,1,5.769355
0,1,5.775201
0,1,5.781945
0,1,5.788259
0,1,5.821959
0,1,5.828111
0,1,5.83414
0,1,5.840056
0,1,5.847325
0,1,5.886512
0,1,5.892022
0,1,5.898484
0,1,5.90515
0,1,5.911376
0,1,5.946697
0,1,5.953049
0,1,5.959448
0,1,5.965842
0,1,5.973753
0,1,6.008107
0,1,6.014733
0,1,6.022709
0,1,6.031609
0,1,6.03818
0,1,6.073457
0,1,6.080031
0,1,6.086536
0,1,6.092587
0,1,6.09927
0,1,6.132503
0,1,6.139041
0,1,6.145045
0,1,6.15123
0,1,6.157493
0,1,6.199961
0,1,6.206566
0,1,6.213917
0,1,6.220589
0,1,6.227882
0,1,6.263454
0,1,6.269176
0,1,6.274799
0,1,6.281639
0,1,6.287799
0,1,6.321434
0,1,6.328184
0,1,6.335919
0,1,6.343525
0,1,6.349824
0,1,6.387486
0,1,6.400298
0,1,6.40728
0,1,6.413843
0,1,6.419786
0,1,6.454465
0,1,6.46059
0,1,6.466633
0,1,6.47296
0,1,6.479187
0,1,6.518255
0,1,6.524574
0,1,6.53105
0,1,6.537018
0,1,6.543156
0,1,6.577056
0,1,6.583223
0,1,6.588931
0,1,6.594934
0,1,6.601507
0,1,6.638702
0,1,6.6445
0,1,6.650857
0,1,6.657733
0,1,6.666189
0,1,6.704619
0,1,6.710428
0,1,6.716437
0,1,6.721877
0,1,6.728232
0,1,6.762856
0,1,6.769045
0,1,6.775434
0,1,6.781435
0,1,6.787661
0,1,6.821725
0,1,6.828158
0,1,6.834029
0,1,6.840888
0,1,6.848249
0,1,6.891151
0,1,6.897302
0,1,6.903162
0,1,6.909393
0,1,6.915288
0,1,6.949486
0,1,6.956171
0,1,6.962398
0,1,6.968363
0,1,6.975097
0,1,7.008691
0,1,7.015245
0,1,7.021362
0,1,7.027677
0,1,7.033624
0,1,7.0739
0,1,7.07975
0,1,7.086674
0,1,7.092893
0,1,7.09968
0,1,7.135743
0,1,7.141615
0,1,7.147723
0,1,7.154416
0,1,7.160541
0,1,7.201204
0,1,7.207712
0,1,7.213676
0,1,7.220034
5,1,7.226214
0,1,7.262144
0,1,7.268282
0,1,7.275159
0,1,7.280816
0,1,7.287525
0,1,7.328422
0,1,7.334865
0,1,7.341539
0,1,7.349739
0,1,7.358033
0,1,7.40497
0,1,7.411415
0,1,7.417594
0,1,7.423844
0,1,7.430527
0,1,7.466293
0,1,7.474649
0,1,7.480033
0,1,7.486086
0,1,7.49227
0,1,7.526371
0,1,7.534375
0,1,7.542043
0,1,7.54952
0,1,7.557372
0,1,7.593598
0,1,7.599157
0,1,7.605563
0,1,7.612503
0,1,7.618931
0,1,7.65671
0,1,7.663775
0,1,7.671787
0,1,7.678506
0,1,7.684572
0,1,7.718947
0,1,7.725758
0,1,7.734287
0,1,7.740741
0,1,7.750628
0,1,7.784222
0,1,7.790351
0,1,7.796626
0,1,7.802765
0,1,7.808651
0,1,7.845314
0,1,7.851498
0,1,7.85789
0,1,7.865405
0,1,7.871601
0,1,7.906309
0,1,7.912798
0,1,7.918853
0,1,7.92571
0,1,7.931223
0,1,7.966277
0,1,7.97348
0,1,7.979432
0,1,7.985517
0,1,7.9917
0,1,8.025832
0,1,8.032164
0,1,8.038256
0,1,8.045349
0,1,8.050979
0,1,8.086489
5,1,8.092863
0,1,8.099084
0,1,8.105179
0,1,8.110692
0,1,8.144761
0,1,8.150989
0,1,8.156619
0,1,8.162865
0,1,8.168849
0,1,8.203073
0,1,8.20876
0,1,8.215262
0,1,8.222013
0,1,8.228021
0,1,8.263696
0,1,8.27006
0,1,8.276202
0,1,8.282481
0,1,8.288592
0,1,8.322545
0,1,8.329038
0,1,8.334949
0,1,8.341352
0,1,8.347542
0,1,8.388295
0,1,8.402985
0,1,8.409736
0,1,8.417065
0,1,8.423321
0,1,8.460332
0,1,8.467535
0,1,8.473804
0,1,8.480491
0,1,8.486196
0,1,8.521884
0,1,8.530306
0,1,8.536731
0,1,8.543502
0,1,8.55004
0,1,8.586556
0,1,8.592877
0,1,8.598968
0,1,8.606103
0,1,8.617786
0,1,8.659574
0,1,8.665622
0,1,8.671766
0,1,8.678434
0,1,8.684282
0,1,8.735289
0,1,8.741899
0,1,8.74853
0,1,8.754618
0,1,8.762136
0,1,8.79662
0,1,8.80368
0,1,8.810975
0,1,8.817534
0,1,8.826567
0,1,8.867992
0,1,8.88079
0,1,8.892412
0,1,8.898182
0,1,8.904127
0,1,8.938105
0,1,8.944346
0,1,8.952196
0,1,8.959988
0,1,8.966609
0,1,9.005533
0,1,9.011384
0,1,9.017051
0,1,9.023467
0,1,9.029939
0,1,9.063675
0,1,9.070161
0,1,9.076197
0,1,9.082238
0,1,9.088731
0,1,9.123811
0,1,9.130293
0,1,9.136339
0,1,9.142471
0,1,9.148551
0,1,9.183195
0,1,9.189276
0,1,9.19579
0,1,9.20275
0,1,9.20875
0,1,9.242601
0,1,9.248995
0,1,9.25452
0,1,9.261259
0,1,9.267642
0,1,9.302041
0,1,9.3085
0,1,9.314625
0,1,9.320751
0,1,9.326815
0,1,9.359936
0,1,9.36634
0,1,9.372061
0,1,9.377791
0,1,9.383505
0,1,9.420279
0,1,9.426713
0,1,9.433221
0,1,9.439767
0,1,9.445571
0,1,9.478997
0,1,9.484607
0,1,9.491048
0,1,9.497314
0,1,9.5041
0,1,9.540622
0,1,9.546245
0,1,9.552335
0,1,9.558858
0,1,9.56519
0,1,9.61501
0,1,9.621922
0,1,9.627918
0,1,9.634699
0,1,9.642254
0,1,9.680334
0,1,9.686694
0,1,9.692944
0,1,9.698953
0,1,9.704827
0,1,9.738952
0,1,9.746328
0,1,9.75242
0,1,9.759054
0,1,9.765451
0,1,9.800298
0,1,9.80625
0,1,9.814493
0,1,9.821684
0,1,9.828842
0,1,9.86368
0,1,9.869758
0,1,9.875333
0,1,9.88127
0,1,9.887014
0,1,9.92617
0,1,9.933254
0,1,9.939614
0,1,9.945897
0,1,9.952187
0,1,9.989033
0,1,9.995998
0,1,10.001429
0,1,10.00787
0,1,10.014082
0,1,10.05118
0,1,10.057816
0,1,10.063847
0,1,10.069842
0,1,10.076497
0,1,10.11385
0,1,10.120014
0,1,10.125844
0,1,10.132282
0,1,10.138915
0,1,10.174445
0,1,10.181507
0,1,10.187226
0,1,10.193158
0,1,10.199801
0,1,10.234305
0,1,10.240235
0,1,10.24645
0,1,10.252761
0,1,10.258637
0,1,10.293638
0,1,10.299511
5,1,10.305518
0,1,10.31253
0,1,10.318279
0,1,10.351395
0,1,10.357327
0,1,10.363663
0,1,10.369591
0,1,10.375677
0,1,10.417012
0,1,10.422505
0,1,10.429054
0,1,10.435268
0,1,10.441246
0,1,10.476593
0,1,10.483341
0,1,10.489829
0,1,10.496743
0,1,10.50321
0,1,10.538824
0,1,10.54511
0,1,10.551811
0,1,10.557803
0,1,10.563801
0,1,10.598107
0,1,10.604564
0,1,10.610655
0,1,10.617179
0,1,10.623453
0,1,10.669233
0,1,10.675692
0,1,10.682836
0,1,10.688942
0,1,10.694719
0,1,10.732005
5,1,10.738556
0,1,10.744581
0,1,10.751276
0,1,10.758178
0,1,10.793315
0,1,10.799464
0,1,10.806391
0,1,10.815472
0,1,10.826872
0,1,10.863258
0,1,10.869725
0,1,10.875866
0,1,10.882259
0,1,10.88848
0,1,10.922643
0,1,10.929453
0,1,10.935167
0,1,10.941253
0,1,10.948893
0,1,10.98826
0,1,10.994744
0,1,11.000773
0,1,11.006996
0,1,11.013202
0,1,11.050253
0,1,11.055844
0,1,11.062486
0,1,11.06839
0,1,11.074603
0,1,11.109407
0,1,11.115499
0,1,11.122066
0,1,11.129895
0,1,11.136963
0,1,11.175912
0,1,11.182205
0,1,11.188526
0,1,11.196163
0,1,11.202622
0,1,11.237071
0,1,11.24363
0,1,11.25029
0,1,11.256206
0,1,11.261841
0,1,11.298601
0,1,11.308002
0,1,11.314569
0,1,11.321189
0,1,11.327725
0,1,11.362678
0,1,11.36953
0,1,11.376078
0,1,11.382615
0,1,11.389021
0,1,11.431723
0,1,11.438017
0,1,11.444385
0,1,11.450745
0,1,11.457
0,1,11.492239
0,1,11.498819
0,1,11.504349
0,1,11.510556
0,1,11.516616
0,1,11.552039
0,1,11.558207
0,1,11.564608
0,1,11.570896
0,1,11.576787
0,1,11.618991
0,1,11.625287
0,1,11.632214
0,1,11.638609
0,1,11.645105
0,1,11.683679
0,1,11.689653
0,1,11.696484
0,1,11.70346
5,1,11.709459
0,1,11.746409
0,1,11.752489
0,1,11.758546
0,1,11.765236
0,1,11.771308
0,1,11.810598
0,1,11.817076
0,1,11.82342
0,1,11.829618
0,1,11.836148
0,1,11.875167
0,1,11.88145
0,1,11.887841
0,1,11.894019
0,1,11.900177
0,1,11.936201
0,1,11.943191
0,1,11.949904
0,1,11.96048
0,1,11.969559
0,1,12.005807
0,1,12.011877
0,1,12.018389
0,1,12.02455
0,1,12.031139
0,1,12.064312
0,1,12.069922
0,1,12.075974
0,1,12.0818
0,1,12.087772
0,1,12.122517
0,1,12.12901
0,1,12.134994
0,1,12.141227
0,1,12.147193
0,1,12.184528
0,1,12.190901
0,1,12.197053
0,1,12.203308
0,1,12.2096
0,1,12.244344
0,1,12.250967
0,1,12.25709
0,1,12.263411
0,1,12.268745
0,1,12.304577
0,1,12.311807
0,1,12.318431
0,1,12.326198
0,1,12.332214
0,1,12.374377
0,1,12.381542
0,1,12.387671
0,1,12.402146
0,1,12.408714
0,1,12.445415
0,1,12.45269
0,1,12.458942
0,1,12.464954
0,1,12.471395
0,1,12.506253
0,1,12.512972
0,1,12.519731
0,1,12.526884
0,1,12.534755
0,1,12.572769
0,1,12.578876
0,1,12.586078
0,1,12.592847
0,1,12.59877
0,1,12.634896
0,1,12.641155
0,1,12.64724
0,1,12.653366
0,1,12.660165
0,1,12.697778
0,1,12.704394
0,1,12.713055
0,1,12.720326
0,1,12.72695
0,1,12.762474
0,1,12.769688
0,1,12.779444
0,1,12.785094
0,1,12.791864
0,1,12.82886
