#{"t_start": 1608093791.137082, "env_id": null}
r,l,t
0,1,1.884722
0,1,1.893737
0,1,1.899354
0,1,1.906059
0,1,1.913439
0,1,4.626092
0,1,4.634057
0,1,4.64045
0,1,4.646466
0,1,4.655223
0,1,4.699017
0,1,4.707221
0,1,4.713552
0,1,4.719785
5,1,4.72598
0,1,4.762176
0,1,4.76781
0,1,4.773303
0,1,4.779454
0,1,4.78496
0,1,4.819746
0,1,4.825859
0,1,4.83247
0,1,4.838611
0,1,4.845137
0,1,4.8821
0,1,4.888474
0,1,4.89641
0,1,4.902384
0,1,4.908503
0,1,4.949431
0,1,4.960287
0,1,4.96694
0,1,4.973247
0,1,4.98001
0,1,5.014867
0,1,5.021097
0,1,5.02732
0,1,5.033785
0,1,5.039644
0,1,5.07351
0,1,5.079945
0,1,5.085949
0,1,5.093012
0,1,5.101401
0,1,5.141744
0,1,5.148442
0,1,5.154582
0,1,5.161468
0,1,5.168061
0,1,5.203603
0,1,5.209675
0,1,5.216374
0,1,5.222528
0,1,5.228956
0,1,5.263209
0,1,5.269142
0,1,5.275242
0,1,5.283566
0,1,5.292114
0,1,5.329725
0,1,5.33617
0,1,5.342071
0,1,5.348986
0,1,5.355219
0,1,5.397235
0,1,5.405313
0,1,5.414642
0,1,5.422043
0,1,5.42909
0,1,5.464874
0,1,5.470882
0,1,5.477836
0,1,5.483944
0,1,5.492032
0,1,5.526837
0,1,5.532882
0,1,5.539152
0,1,5.545925
0,1,5.551787
0,1,5.599219
0,1,5.606965
0,1,5.612614
0,1,5.618822
0,1,5.624938
0,1,5.666967
0,1,5.674044
0,1,5.680838
0,1,5.688188
0,1,5.69515
0,1,5.732338
0,1,5.738264
0,1,5.744177
0,1,5.751094
0,1,5.757157
0,1,5.790856
0,1,5.797503
0,1,5.803026
0,1,5.808946
0,1,5.816985
0,1,5.8554
0,1,5.86099
0,1,5.867371
0,1,5.874035
0,1,5.880276
0,1,5.915593
0,1,5.921905
0,1,5.928344
0,1,5.934736
0,1,5.942649
0,1,5.977025
0,1,5.984228
0,1,5.991474
0,1,6.000447
5,1,6.007205
0,1,6.042437
0,1,6.049702
0,1,6.055376
0,1,6.061505
0,1,6.068159
0,1,6.101387
0,1,6.107954
0,1,6.113931
0,1,6.120139
0,1,6.126657
0,1,6.168831
0,1,6.175646
0,1,6.182987
0,1,6.189716
0,1,6.196985
0,1,6.232344
0,1,6.238061
0,1,6.243851
0,1,6.250526
0,1,6.256693
0,1,6.290321
0,1,6.297297
0,1,6.306424
0,1,6.312415
0,1,6.318661
0,1,6.356374
0,1,6.36942
0,1,6.375373
0,1,6.382731
0,1,6.388674
0,1,6.423387
0,1,6.429486
0,1,6.435557
0,1,6.442016
0,1,6.448733
0,1,6.48714
0,1,6.493454
0,1,6.499931
0,1,6.506085
0,1,6.512191
0,1,6.546267
0,1,6.552139
0,1,6.557763
0,1,6.563829
0,1,6.570506
0,1,6.607543
0,1,6.613475
0,1,6.619744
0,1,6.627228
0,1,6.634215
0,1,6.673698
0,1,6.679331
0,1,6.685325
0,1,6.690782
0,1,6.697127
0,1,6.731779
0,1,6.737941
0,1,6.744345
0,1,6.75048
0,1,6.756499
0,1,6.790693
0,1,6.797079
0,1,6.802963
0,1,6.809233
0,1,6.816872
0,1,6.860043
0,1,6.866238
0,1,6.872391
0,1,6.878209
0,1,6.884195
0,1,6.918563
0,1,6.925159
0,1,6.93129
0,1,6.937255
0,1,6.944015
0,1,6.977581
0,1,6.984156
0,1,6.990254
0,1,6.996596
0,1,7.002502
0,1,7.042801
0,1,7.048767
0,1,7.05583
0,1,7.061847
0,1,7.068955
0,1,7.104563
0,1,7.110546
0,1,7.116631
0,1,7.123341
0,1,7.129724
0,1,7.17016
0,1,7.176595
0,1,7.182643
0,1,7.188966
0,1,7.195042
0,1,7.231058
0,1,7.237187
0,1,7.243216
0,1,7.249693
0,1,7.256768
0,1,7.297408
0,1,7.303762
0,1,7.310443
0,1,7.31948
0,1,7.326902
0,1,7.373784
0,1,7.380465
0,1,7.386436
0,1,7.392758
0,1,7.399418
0,1,7.435264
0,1,7.443108
0,1,7.449003
0,1,7.455016
0,1,7.461234
0,1,7.495286
0,1,7.50352
0,1,7.511551
0,1,7.517619
