#{"t_start": 1608093791.201623, "env_id": null}
r,l,t
0,1,1.8207
0,1,1.829218
0,1,1.835505
0,1,1.842333
0,1,1.849663
0,1,4.561723
0,1,4.570115
0,1,4.576596
0,1,4.582563
0,1,4.591243
0,1,4.634549
0,1,4.642956
0,1,4.6496
5,1,4.655589
0,1,4.66189
0,1,4.697687
0,1,4.703305
0,1,4.708791
0,1,4.714954
0,1,4.720443
0,1,4.755831
0,1,4.761981
0,1,4.768563
0,1,4.774586
0,1,4.780884
0,1,4.818171
0,1,4.823946
0,1,4.831927
0,1,4.838073
0,1,4.844464
0,1,4.885507
0,1,4.895915
0,1,4.903191
0,1,4.909478
0,1,4.9159
0,1,4.951012
0,1,4.957167
0,1,4.963287
0,1,4.969803
0,1,4.975627
0,1,5.009544
0,1,5.015952
0,1,5.021973
0,1,5.02881
0,1,5.038051
0,1,5.077955
0,1,5.084422
0,1,5.090669
0,1,5.097403
0,1,5.104116
0,1,5.139366
0,1,5.145684
0,1,5.151869
0,1,5.158444
0,1,5.165048
0,1,5.199218
0,1,5.2051
0,1,5.211441
0,1,5.219362
0,1,5.228064
0,1,5.265187
0,1,5.272197
0,1,5.278244
0,1,5.285073
0,1,5.291216
0,1,5.3334
0,1,5.34141
0,1,5.350756
0,1,5.358161
0,1,5.363966
0,1,5.400935
0,1,5.407104
0,1,5.413391
0,1,5.420035
0,1,5.427692
0,1,5.462892
0,1,5.468867
0,1,5.475175
0,1,5.481926
0,1,5.487707
0,1,5.53471
0,1,5.542268
0,1,5.548585
0,1,5.554857
0,1,5.560889
0,1,5.602726
0,1,5.609959
0,1,5.616796
0,1,5.624178
0,1,5.630782
0,1,5.668301
0,1,5.673858
0,1,5.680242
0,1,5.686911
0,1,5.692617
0,1,5.726863
0,1,5.733033
0,1,5.73898
0,1,5.744989
0,1,5.752643
0,1,5.790987
0,1,5.797133
0,1,5.803458
0,1,5.810057
0,1,5.815728
0,1,5.851649
0,1,5.858033
0,1,5.864444
0,1,5.870729
0,1,5.878647
0,1,5.913006
