#{"t_start": 1608093791.188721, "env_id": null}
r,l,t
0,1,1.832649
0,1,1.842067
0,1,1.847709
0,1,1.854419
0,1,1.861799
0,1,4.573791
0,1,4.582377
0,1,4.588784
0,1,4.594793
0,1,4.603525
0,1,4.647351
0,1,4.654832
0,1,4.661852
0,1,4.668005
0,1,4.674185
0,1,4.710536
0,1,4.716163
0,1,4.72166
0,1,4.727795
0,1,4.733271
0,1,4.76806
0,1,4.77416
0,1,4.780755
0,1,4.786842
0,1,4.793045
0,1,4.830287
0,1,4.836614
0,1,4.844051
0,1,4.850637
0,1,4.856644
0,1,4.89767
0,1,4.908766
0,1,4.915305
0,1,4.92156
0,1,4.928156
0,1,4.962964
0,1,4.969381
0,1,4.975481
0,1,4.982068
0,1,4.987892
0,1,5.021789
0,1,5.028062
0,1,5.034247
0,1,5.041171
0,1,5.049475
0,1,5.089962
0,1,5.096679
0,1,5.102824
0,1,5.109399
0,1,5.116352
0,1,5.151887
0,1,5.157916
0,1,5.164646
0,1,5.170794
0,1,5.177289
0,1,5.21144
0,1,5.217357
0,1,5.223516
0,1,5.231394
0,1,5.240218
0,1,5.277304
0,1,5.28446
0,1,5.290382
0,1,5.297219
0,1,5.303447
0,1,5.345659
0,1,5.353525
0,1,5.362989
5,1,5.370526
0,1,5.37683
0,1,5.413149
0,1,5.419243
0,1,5.426137
0,1,5.432228
0,1,5.440017
0,1,5.47507
0,1,5.481119
0,1,5.487435
0,1,5.494178
0,1,5.500073
0,1,5.54693
0,1,5.555187
0,1,5.560847
0,1,5.567114
0,1,5.573316
0,1,5.615303
0,1,5.622326
0,1,5.628947
0,1,5.636142
0,1,5.6434
0,1,5.680586
0,1,5.686625
0,1,5.692344
0,1,5.699157
0,1,5.705455
0,1,5.739139
0,1,5.745365
0,1,5.751329
0,1,5.757244
0,1,5.764807
0,1,5.803713
0,1,5.80918
0,1,5.815661
0,1,5.822317
0,1,5.828616
0,1,5.863887
0,1,5.870196
0,1,5.876633
0,1,5.883019
0,1,5.890929
0,1,5.92526
0,1,5.932046
0,1,5.939824
0,1,5.948746
0,1,5.955336
0,1,5.990618
0,1,5.997291
0,1,6.00371
0,1,6.00974
0,1,6.016446
0,1,6.049684
0,1,6.056196
0,1,6.062214
0,1,6.068376
0,1,6.074749
0,1,6.117119
0,1,6.124095
0,1,6.131057
0,1,6.137964
0,1,6.145069
0,1,6.180628
0,1,6.186385
0,1,6.191994
0,1,6.198815
0,1,6.205053
0,1,6.238612
0,1,6.245411
0,1,6.252961
0,1,6.260666
0,1,6.26702
0,1,6.304698
0,1,6.31744
0,1,6.323729
0,1,6.331019
0,1,6.336945
0,1,6.371627
0,1,6.377783
0,1,6.383796
0,1,6.390339
5,1,6.396563
0,1,6.43543
0,1,6.441743
0,1,6.448223
0,1,6.454173
0,1,6.460666
0,1,6.494373
0,1,6.500468
0,1,6.506074
0,1,6.512186
0,1,6.518681
0,1,6.555895
0,1,6.561662
0,1,6.568034
0,1,6.574998
0,1,6.582713
0,1,6.621762
0,1,6.627567
0,1,6.633596
0,1,6.639024
0,1,6.645412
0,1,6.680012
0,1,6.686188
0,1,6.692591
0,1,6.698595
0,1,6.704781
0,1,6.738879
0,1,6.745313
0,1,6.751224
0,1,6.757555
0,1,6.765214
0,1,6.808339
0,1,6.814461
0,1,6.820435
0,1,6.826519
0,1,6.832561
0,1,6.866723
0,1,6.873321
0,1,6.879581
0,1,6.885556
0,1,6.892251
0,1,6.925867
0,1,6.932395
0,1,6.938536
0,1,6.944834
0,1,6.950789
0,1,6.991041
0,1,6.997008
0,1,7.003945
0,1,7.010049
0,1,7.016868
0,1,7.052782
0,1,7.058809
0,1,7.064992
0,1,7.071564
0,1,7.077689
0,1,7.118412
0,1,7.124877
0,1,7.130864
0,1,7.137194
0,1,7.143231
0,1,7.179293
0,1,7.185463
0,1,7.191577
0,1,7.198032
0,1,7.205027
0,1,7.245616
0,1,7.252006
0,1,7.258694
0,1,7.266956
0,1,7.275184
0,1,7.322157
0,1,7.328654
0,1,7.334839
0,1,7.341049
0,1,7.347704
0,1,7.383456
0,1,7.390988
0,1,7.397174
0,1,7.403245
0,1,7.409433
0,1,7.443524
0,1,7.451617
0,1,7.459328
0,1,7.46598
0,1,7.474962
0,1,7.510783
0,1,7.516309
0,1,7.523227
0,1,7.529633
0,1,7.536913
0,1,7.573853
0,1,7.581801
0,1,7.588927
0,1,7.595752
0,1,7.601647
5,1,7.636256
0,1,7.643012
0,1,7.651568
0,1,7.657962
0,1,7.667784
0,1,7.701387
0,1,7.707536
0,1,7.713804
0,1,7.719924
0,1,7.725819
0,1,7.762495
0,1,7.768647
0,1,7.775031
0,1,7.781747
0,1,7.788872
0,1,7.823486
0,1,7.829937
0,1,7.836031
0,1,7.842281
0,1,7.848383
0,1,7.883431
0,1,7.889941
0,1,7.896575
0,1,7.902672
0,1,7.908852
0,1,7.943011
0,1,7.94933
0,1,7.955437
0,1,7.96198
0,1,7.968132
0,1,8.003767
0,1,8.009937
0,1,8.016235
0,1,8.022366
0,1,8.027927
0,1,8.061915
0,1,8.068232
0,1,8.073832
0,1,8.080074
0,1,8.085984
0,1,8.120338
0,1,8.125852
0,1,8.13242
0,1,8.138548
0,1,8.144626
0,1,8.180882
0,1,8.187246
0,1,8.19336
0,1,8.199633
0,1,8.205793
0,1,8.239723
0,1,8.246208
0,1,8.252118
0,1,8.258504
0,1,8.264698
0,1,8.305547
5,1,8.320262
0,1,8.326949
0,1,8.33426
0,1,8.340588
0,1,8.377589
0,1,8.384678
0,1,8.391367
0,1,8.397747
0,1,8.40333
0,1,8.439052
0,1,8.447548
0,1,8.453874
0,1,8.460721
0,1,8.46728
0,1,8.503798
0,1,8.510061
0,1,8.51613
0,1,8.52339
5,1,8.535348
0,1,8.575998
0,1,8.582779
0,1,8.589021
0,1,8.595739
0,1,8.601446
0,1,8.652661
0,1,8.659042
0,1,8.665721
0,1,8.671775
0,1,8.678626
0,1,8.713069
0,1,8.720917
0,1,8.728118
0,1,8.734845
0,1,8.743799
0,1,8.784484
0,1,8.79803
0,1,8.807677
0,1,8.81534
0,1,8.821281
0,1,8.855269
0,1,8.861616
0,1,8.869339
0,1,8.877134
0,1,8.883762
0,1,8.922692
0,1,8.928502
0,1,8.9342
0,1,8.940621
0,1,8.947098
0,1,8.980851
0,1,8.987314
0,1,8.993365
0,1,8.999439
0,1,9.005948
0,1,9.04097
0,1,9.047524
0,1,9.053505
0,1,9.059612
0,1,9.065685
0,1,9.100351
0,1,9.106447
0,1,9.11296
0,1,9.119898
0,1,9.125936
0,1,9.159757
0,1,9.166153
0,1,9.171794
0,1,9.179148
0,1,9.184866
0,1,9.219196
0,1,9.225671
0,1,9.231786
0,1,9.237909
0,1,9.24399
0,1,9.277096
0,1,9.283558
0,1,9.289203
0,1,9.294963
0,1,9.300694
0,1,9.337432
0,1,9.343867
0,1,9.350393
0,1,9.356575
0,1,9.362729
0,1,9.396164
0,1,9.401751
0,1,9.408242
0,1,9.41447
0,1,9.421456
0,1,9.457788
0,1,9.463404
0,1,9.469534
0,1,9.475998
0,1,9.482334
0,1,9.532147
0,1,9.539104
0,1,9.545048
0,1,9.551921
0,1,9.55994
0,1,9.597542
0,1,9.603861
0,1,9.610088
0,1,9.616131
0,1,9.621975
0,1,9.656107
0,1,9.663577
0,1,9.669639
0,1,9.676253
0,1,9.682553
0,1,9.717439
5,1,9.72353
0,1,9.731637
0,1,9.739028
0,1,9.746045
0,1,9.780939
0,1,9.786928
0,1,9.792713
0,1,9.798432
0,1,9.804172
0,1,9.843311
0,1,9.850394
0,1,9.856694
0,1,9.86332
0,1,9.869368
0,1,9.906186
0,1,9.912392
0,1,9.918605
0,1,9.925076
0,1,9.931294
0,1,9.968441
0,1,9.97499
0,1,9.980984
0,1,9.98702
0,1,9.993676
0,1,10.031019
0,1,10.037188
0,1,10.043028
0,1,10.04953
0,1,10.056048
0,1,10.091627
0,1,10.098757
0,1,10.104413
0,1,10.110324
0,1,10.116956
0,1,10.151474
0,1,10.157387
0,1,10.163699
0,1,10.169955
0,1,10.175774
0,1,10.210781
0,1,10.216756
0,1,10.222532
0,1,10.229672
0,1,10.235538
0,1,10.268547
0,1,10.274695
0,1,10.280865
0,1,10.286774
0,1,10.292999
0,1,10.334251
0,1,10.339705
0,1,10.345592
0,1,10.352417
0,1,10.3585
0,1,10.393755
5,1,10.400581
0,1,10.407039
0,1,10.413961
0,1,10.42037
0,1,10.455981
0,1,10.462285
0,1,10.468948
0,1,10.475034
0,1,10.481067
0,1,10.51525
0,1,10.521748
0,1,10.527826
0,1,10.534357
0,1,10.540582
0,1,10.586412
0,1,10.592839
0,1,10.600042
0,1,10.606071
0,1,10.611939
0,1,10.649128
0,1,10.655548
0,1,10.661743
0,1,10.6684
0,1,10.675393
0,1,10.710494
0,1,10.716634
0,1,10.72398
0,1,10.732674
0,1,10.744359
0,1,10.780418
0,1,10.78688
0,1,10.793968
0,1,10.799418
0,1,10.805638
0,1,10.840509
0,1,10.846844
0,1,10.85231
0,1,10.858434
0,1,10.866372
0,1,10.905415
0,1,10.911886
0,1,10.917981
0,1,10.924257
0,1,10.930456
0,1,10.967424
0,1,10.972994
0,1,10.97999
0,1,10.985534
0,1,10.991746
0,1,11.026582
0,1,11.03267
0,1,11.039128
0,1,11.047162
0,1,11.054147
0,1,11.093061
0,1,11.099356
0,1,11.105728
0,1,11.112402
0,1,11.119848
0,1,11.154228
0,1,11.160806
0,1,11.16744
0,1,11.173368
0,1,11.178999
0,1,11.215827
