#{"t_start": 1608093715.5737479, "env_id": null}
r,l,t
0,1,2.232314
0,1,2.247332
0,1,2.254914
0,1,2.265465
0,1,2.274562
0,1,5.470244
0,1,5.477111
0,1,5.486772
0,1,5.499721
0,1,5.506177
0,1,5.553049
0,1,5.560257
0,1,5.57157
0,1,5.578275
0,1,5.584589
0,1,5.624837
0,1,5.631372
0,1,5.638027
0,1,5.644358
0,1,5.650001
0,1,5.689172
0,1,5.695676
0,1,5.701994
0,1,5.708284
0,1,5.714007
0,1,5.74976
0,1,5.755494
0,1,5.761688
0,1,5.768305
0,1,5.774447
0,1,5.812282
0,1,5.81911
0,1,5.824914
0,1,5.830931
0,1,5.836591
0,1,5.872795
0,1,5.879373
0,1,5.885424
0,1,5.892145
0,1,5.898053
0,1,5.938341
0,1,5.946105
0,1,5.952219
0,1,5.958623
0,1,5.964923
0,1,6.002652
0,1,6.008557
0,1,6.014113
0,1,6.021218
0,1,6.027905
0,1,6.066476
0,1,6.072849
0,1,6.078806
0,1,6.085404
0,1,6.091518
0,1,6.127547
0,1,6.13413
0,1,6.140237
0,1,6.146132
0,1,6.152207
0,1,6.189997
0,1,6.195761
0,1,6.202468
0,1,6.208715
0,1,6.214528
0,1,6.249951
0,1,6.259701
0,1,6.266853
0,1,6.274679
0,1,6.281212
0,1,6.316995
0,1,6.323221
0,1,6.329443
0,1,6.336008
0,1,6.342756
0,1,6.378917
0,1,6.385265
0,1,6.391581
0,1,6.39766
0,1,6.403597
0,1,6.440425
0,1,6.44649
0,1,6.45293
0,1,6.459559
0,1,6.465656
0,1,6.504584
0,1,6.510378
0,1,6.516887
0,1,6.523293
0,1,6.530192
0,1,6.566273
0,1,6.572913
0,1,6.57926
0,1,6.585296
0,1,6.592082
0,1,6.632443
0,1,6.639488
0,1,6.646046
0,1,6.652022
0,1,6.658386
0,1,6.695585
0,1,6.702045
0,1,6.708826
0,1,6.71569
0,1,6.721704
0,1,6.75915
0,1,6.765246
0,1,6.771355
0,1,6.777793
0,1,6.784558
0,1,6.820991
0,1,6.827125
0,1,6.833311
0,1,6.8397
0,1,6.846185
0,1,6.882641
0,1,6.88823
0,1,6.894924
0,1,6.901055
0,1,6.907729
0,1,6.944695
0,1,6.95123
0,1,6.95755
0,1,6.964112
0,1,6.970476
0,1,7.007276
0,1,7.013758
0,1,7.020554
0,1,7.027224
0,1,7.03371
0,1,7.068105
0,1,7.074639
0,1,7.080579
0,1,7.086325
0,1,7.093484
0,1,7.13045
0,1,7.137308
0,1,7.143783
0,1,7.150167
0,1,7.157055
0,1,7.19395
0,1,7.200228
0,1,7.20751
0,1,7.213652
0,1,7.219653
0,1,7.259951
0,1,7.26624
0,1,7.272667
0,1,7.279355
0,1,7.285488
0,1,7.322638
0,1,7.328799
0,1,7.33519
0,1,7.341796
0,1,7.348236
0,1,7.38622
0,1,7.393007
5,1,7.399787
0,1,7.405834
0,1,7.412275
0,1,7.447252
0,1,7.45376
0,1,7.460582
0,1,7.466776
0,1,7.472743
0,1,7.508573
0,1,7.515185
0,1,7.521372
0,1,7.528195
0,1,7.534387
0,1,7.571737
0,1,7.578052
0,1,7.584176
0,1,7.590832
0,1,7.597367
0,1,7.633928
0,1,7.64024
0,1,7.646119
0,1,7.653277
0,1,7.659921
0,1,7.69809
0,1,7.704131
0,1,7.709831
0,1,7.716293
0,1,7.722861
0,1,7.760394
0,1,7.767334
0,1,7.7734
0,1,7.779471
0,1,7.786035
0,1,7.823214
0,1,7.82993
0,1,7.836319
0,1,7.842437
0,1,7.848609
0,1,7.885689
0,1,7.891772
0,1,7.898239
0,1,7.905843
0,1,7.911927
0,1,7.949393
0,1,7.955584
0,1,7.961303
0,1,7.967699
0,1,7.974756
0,1,8.011386
0,1,8.017431
0,1,8.023581
0,1,8.029821
0,1,8.036561
0,1,8.072902
0,1,8.079485
0,1,8.085353
0,1,8.091943
0,1,8.098682
0,1,8.134323
0,1,8.140794
0,1,8.146867
0,1,8.153024
0,1,8.159355
0,1,8.198734
0,1,8.205369
0,1,8.211428
0,1,8.217254
0,1,8.224117
0,1,8.267618
0,1,8.274289
0,1,8.281512
0,1,8.28786
0,1,8.294622
0,1,8.33207
0,1,8.338232
0,1,8.344462
0,1,8.350345
0,1,8.356665
0,1,8.393792
0,1,8.400929
0,1,8.406612
0,1,8.412482
0,1,8.419045
0,1,8.456495
0,1,8.463174
0,1,8.469135
0,1,8.475406
5,1,8.481198
0,1,8.518207
0,1,8.524621
0,1,8.5307
0,1,8.537111
0,1,8.543073
0,1,8.579435
0,1,8.585483
0,1,8.592755
0,1,8.599101
0,1,8.605597
0,1,8.641685
0,1,8.648391
0,1,8.65479
