#{"t_start": 1608093715.551064, "env_id": null}
r,l,t
0,1,2.25515
0,1,2.270703
0,1,2.27841
0,1,2.288871
0,1,2.297664
0,1,5.493724
0,1,5.499994
0,1,5.510219
0,1,5.522928
0,1,5.529733
0,1,5.576679
0,1,5.583757
0,1,5.595022
0,1,5.601665
0,1,5.607916
0,1,5.648242
0,1,5.654881
0,1,5.661645
0,1,5.66712
0,1,5.673422
0,1,5.712574
0,1,5.719094
0,1,5.724918
0,1,5.731032
0,1,5.736759
0,1,5.772516
0,1,5.778319
0,1,5.784423
0,1,5.791119
0,1,5.797196
0,1,5.835038
0,1,5.842
0,1,5.847645
0,1,5.853696
0,1,5.859439
0,1,5.895983
0,1,5.902128
0,1,5.908888
0,1,5.914894
0,1,5.921536
0,1,5.961824
0,1,5.96824
0,1,5.97492
0,1,5.981377
0,1,5.988335
0,1,6.025725
0,1,6.031481
0,1,6.037557
0,1,6.044667
0,1,6.050973
0,1,6.090025
0,1,6.095808
0,1,6.102175
0,1,6.108161
0,1,6.114937
0,1,6.150881
0,1,6.157359
0,1,6.163456
0,1,6.169459
0,1,6.175661
0,1,6.212996
0,1,6.219074
0,1,6.225869
0,1,6.231715
0,1,6.237885
0,1,6.276856
0,1,6.283149
0,1,6.289481
0,1,6.296859
0,1,6.303759
0,1,6.340009
0,1,6.346735
0,1,6.352798
0,1,6.359371
0,1,6.366086
0,1,6.402298
0,1,6.408648
0,1,6.414943
0,1,6.420709
0,1,6.426965
0,1,6.463468
0,1,6.469908
0,1,6.476376
0,1,6.482904
0,1,6.489006
0,1,6.52753
0,1,6.533741
0,1,6.540229
0,1,6.546826
0,1,6.553575
0,1,6.589748
0,1,6.596493
0,1,6.602527
0,1,6.608316
0,1,6.615434
0,1,6.656066
0,1,6.662321
0,1,6.669383
0,1,6.675165
0,1,6.681749
0,1,6.719007
0,1,6.725382
0,1,6.732148
0,1,6.739032
0,1,6.744498
0,1,6.782534
0,1,6.788264
0,1,6.794703
0,1,6.801068
0,1,6.807877
0,1,6.844361
0,1,6.850491
0,1,6.856659
0,1,6.863038
0,1,6.869516
0,1,6.905487
0,1,6.911627
0,1,6.91827
5,1,6.924594
0,1,6.930599
0,1,6.968093
0,1,6.974581
0,1,6.980913
0,1,6.987468
0,1,6.993863
0,1,7.030949
0,1,7.037099
0,1,7.043946
0,1,7.050636
0,1,7.057052
0,1,7.091438
0,1,7.097636
0,1,7.103626
0,1,7.109684
0,1,7.116837
0,1,7.153801
0,1,7.160155
0,1,7.166588
0,1,7.173125
0,1,7.179815
0,1,7.216794
0,1,7.223068
0,1,7.230313
0,1,7.236481
0,1,7.242418
0,1,7.283356
0,1,7.289569
0,1,7.29599
0,1,7.302739
0,1,7.308812
0,1,7.345729
0,1,7.352141
0,1,7.358242
0,1,7.36487
0,1,7.371677
0,1,7.409651
0,1,7.416323
0,1,7.422993
0,1,7.429174
0,1,7.435306
0,1,7.470644
0,1,7.477165
0,1,7.4839
0,1,7.489592
0,1,7.49613
0,1,7.531928
0,1,7.53853
0,1,7.544729
0,1,7.551541
0,1,7.557735
0,1,7.595091
0,1,7.600971
0,1,7.607822
0,1,7.614387
0,1,7.620744
0,1,7.657422
0,1,7.663016
0,1,7.66947
0,1,7.676548
0,1,7.683276
0,1,7.721436
0,1,7.727019
0,1,7.733278
0,1,7.739798
0,1,7.746555
0,1,7.783731
0,1,7.790684
0,1,7.796175
0,1,7.802922
0,1,7.809401
5,1,7.846632
0,1,7.853372
0,1,7.859679
0,1,7.865769
0,1,7.872081
0,1,7.908667
0,1,7.915221
0,1,7.921615
0,1,7.929185
5,1,7.935087
0,1,7.972792
0,1,7.978319
0,1,7.984812
0,1,7.991066
0,1,7.998101
0,1,8.034728
0,1,8.040781
0,1,8.046752
0,1,8.053295
0,1,8.059591
0,1,8.096205
0,1,8.102648
0,1,8.108517
0,1,8.115314
0,1,8.122036
0,1,8.157154
0,1,8.164111
0,1,8.169907
0,1,8.176359
0,1,8.182694
0,1,8.222218
0,1,8.22819
0,1,8.23432
0,1,8.2409
0,1,8.247658
0,1,8.291353
0,1,8.297761
0,1,8.304298
0,1,8.310914
0,1,8.318103
0,1,8.355457
0,1,8.361478
0,1,8.36724
0,1,8.373417
