#{"t_start": 1608093715.579778, "env_id": null}
r,l,t
0,1,2.226268
0,1,2.241293
0,1,2.248835
0,1,2.259436
0,1,2.268404
0,1,5.464194
0,1,5.471245
0,1,5.480284
0,1,5.49365
0,1,5.500055
0,1,5.546996
0,1,5.554221
0,1,5.56543
5,1,5.572374
0,1,5.578523
0,1,5.618775
0,1,5.625321
0,1,5.631971
0,1,5.638313
0,1,5.643867
0,1,5.683036
0,1,5.689621
0,1,5.695853
0,1,5.702211
0,1,5.70794
0,1,5.743699
0,1,5.749389
0,1,5.755612
0,1,5.762234
0,1,5.768373
0,1,5.806216
0,1,5.813071
0,1,5.8188
0,1,5.824815
0,1,5.830528
0,1,5.866738
0,1,5.87331
0,1,5.879373
0,1,5.886115
0,1,5.892
0,1,5.932278
0,1,5.939415
0,1,5.946769
0,1,5.952599
0,1,5.958855
0,1,5.996595
0,1,6.002503
0,1,6.008045
0,1,6.015149
0,1,6.02184
0,1,6.060418
0,1,6.066769
0,1,6.072759
0,1,6.079352
0,1,6.085476
0,1,6.121478
0,1,6.127954
0,1,6.134104
0,1,6.140084
0,1,6.14616
0,1,6.183859
0,1,6.189699
0,1,6.196382
0,1,6.202641
0,1,6.20848
0,1,6.243909
0,1,6.253656
0,1,6.260014
0,1,6.267937
0,1,6.274571
0,1,6.310929
0,1,6.317174
0,1,6.323369
0,1,6.329925
0,1,6.336684
0,1,6.372859
0,1,6.379199
0,1,6.385539
0,1,6.391624
0,1,6.397533
0,1,6.43426
0,1,6.440447
0,1,6.446857
0,1,6.453488
0,1,6.459604
0,1,6.498509
0,1,6.504317
0,1,6.510733
0,1,6.517248
0,1,6.523982
0,1,6.560123
0,1,6.566867
0,1,6.573208
0,1,6.579192
0,1,6.586043
0,1,6.626371
0,1,6.63323
0,1,6.640002
0,1,6.645973
0,1,6.652353
0,1,6.689507
0,1,6.695976
0,1,6.702761
0,1,6.709648
0,1,6.71566
0,1,6.753104
0,1,6.759208
0,1,6.765312
0,1,6.771633
0,1,6.778497
0,1,6.814954
0,1,6.821063
0,1,6.827261
0,1,6.833655
0,1,6.840113
0,1,6.876468
0,1,6.88219
0,1,6.888877
0,1,6.895052
0,1,6.90179
0,1,6.938655
0,1,6.945198
0,1,6.95151
0,1,6.958067
0,1,6.964439
0,1,7.001199
0,1,7.007687
0,1,7.014515
0,1,7.021162
0,1,7.027635
0,1,7.061862
0,1,7.068583
0,1,7.074529
0,1,7.080281
0,1,7.087455
0,1,7.124385
0,1,7.131254
0,1,7.13768
0,1,7.14409
0,1,7.151014
0,1,7.187885
0,1,7.194198
0,1,7.20147
0,1,7.207604
0,1,7.213584
0,1,7.253907
0,1,7.260192
0,1,7.266591
0,1,7.273289
0,1,7.279435
0,1,7.316621
0,1,7.322756
0,1,7.328977
0,1,7.335759
0,1,7.342206
0,1,7.38018
5,1,7.386993
0,1,7.393609
0,1,7.399788
0,1,7.40621
0,1,7.441175
0,1,7.447696
0,1,7.454506
0,1,7.460746
0,1,7.466694
0,1,7.502509
5,1,7.509244
0,1,7.515304
0,1,7.522123
0,1,7.528324
0,1,7.56568
0,1,7.572022
0,1,7.578111
0,1,7.584787
0,1,7.591323
0,1,7.627882
0,1,7.634167
0,1,7.640082
0,1,7.647205
0,1,7.653851
0,1,7.692057
0,1,7.698073
0,1,7.703769
0,1,7.710256
0,1,7.716813
0,1,7.754328
0,1,7.76129
0,1,7.767335
0,1,7.773413
0,1,7.779854
0,1,7.81715
0,1,7.823802
0,1,7.830265
0,1,7.836363
0,1,7.842532
0,1,7.879495
0,1,7.885729
0,1,7.892176
0,1,7.899808
0,1,7.905877
0,1,7.943348
0,1,7.949523
0,1,7.955272
0,1,7.961628
0,1,7.968712
0,1,8.00532
0,1,8.011361
0,1,8.017456
0,1,8.02375
0,1,8.030519
0,1,8.066807
0,1,8.073307
0,1,8.080037
0,1,8.085903
0,1,8.092637
0,1,8.128293
0,1,8.134724
0,1,8.14083
0,1,8.146961
0,1,8.153297
0,1,8.192615
0,1,8.199299
0,1,8.205328
0,1,8.21119
0,1,8.218049
0,1,8.261589
0,1,8.268158
0,1,8.275288
0,1,8.281805
5,1,8.288792
0,1,8.325981
0,1,8.332174
0,1,8.338374
0,1,8.344339
0,1,8.35056
0,1,8.387756
0,1,8.394827
0,1,8.400544
0,1,8.406405
0,1,8.413015
0,1,8.450464
0,1,8.457102
0,1,8.4631
0,1,8.469345
0,1,8.475029
0,1,8.512177
0,1,8.518574
0,1,8.524658
0,1,8.530939
0,1,8.537022
0,1,8.573389
0,1,8.580075
0,1,8.586693
0,1,8.593037
0,1,8.599429
0,1,8.63627
0,1,8.64233
0,1,8.648724
0,1,8.655379
0,1,8.660923
0,1,8.697287
0,1,8.703736
0,1,8.710003
0,1,8.716235
0,1,8.722487
0,1,8.757852
0,1,8.764744
0,1,8.771318
0,1,8.777862
0,1,8.784049
0,1,8.822383
0,1,8.829707
0,1,8.836005
0,1,8.841815
0,1,8.848403
0,1,8.885721
0,1,8.892125
0,1,8.899148
0,1,8.905668
0,1,8.912081
0,1,8.95005
0,1,8.95628
0,1,8.962323
0,1,8.969719
0,1,8.976881
0,1,9.015669
0,1,9.02269
0,1,9.029415
0,1,9.035562
0,1,9.04165
0,1,9.07971
0,1,9.086702
0,1,9.093499
0,1,9.099677
0,1,9.106361
0,1,9.142764
0,1,9.14901
0,1,9.155499
0,1,9.161658
0,1,9.167992
0,1,9.204043
0,1,9.210464
0,1,9.216455
0,1,9.222929
0,1,9.232372
0,1,9.268678
0,1,9.274625
0,1,9.281081
0,1,9.287402
0,1,9.293277
0,1,9.328726
0,1,9.335641
0,1,9.341728
0,1,9.347507
0,1,9.35321
0,1,9.390677
0,1,9.396906
0,1,9.403675
0,1,9.409919
0,1,9.416654
0,1,9.453644
0,1,9.459352
0,1,9.465847
0,1,9.471984
0,1,9.478441
0,1,9.515989
0,1,9.522764
0,1,9.528749
0,1,9.535675
0,1,9.541964
0,1,9.57848
0,1,9.585346
0,1,9.591366
0,1,9.597648
0,1,9.604309
0,1,9.641321
0,1,9.648033
0,1,9.65449
0,1,9.660199
0,1,9.666287
0,1,9.701514
0,1,9.708132
0,1,9.713785
0,1,9.720014
0,1,9.726573
0,1,9.762948
0,1,9.769783
0,1,9.775932
0,1,9.781983
0,1,9.788778
0,1,9.8232
0,1,9.828992
0,1,9.835458
0,1,9.841451
0,1,9.84801
0,1,9.88278
0,1,9.889945
0,1,9.896425
0,1,9.903356
0,1,9.909501
0,1,9.945898
0,1,9.95293
0,1,9.95889
0,1,9.965321
0,1,9.972085
0,1,10.007967
0,1,10.01451
0,1,10.020833
0,1,10.027667
0,1,10.033952
0,1,10.071336
0,1,10.077542
0,1,10.083794
0,1,10.09063
0,1,10.097073
0,1,10.133411
0,1,10.140337
0,1,10.146317
0,1,10.152492
0,1,10.158945
0,1,10.194396
0,1,10.200804
0,1,10.207239
0,1,10.213452
0,1,10.219573
0,1,10.259916
0,1,10.266983
0,1,10.273337
0,1,10.279823
0,1,10.286606
5,1,10.323186
0,1,10.329083
0,1,10.339861
0,1,10.346086
0,1,10.3531
0,1,10.388669
0,1,10.395201
0,1,10.401473
0,1,10.40796
0,1,10.414278
0,1,10.450393
0,1,10.456798
0,1,10.463252
0,1,10.469571
0,1,10.476265
0,1,10.512733
0,1,10.519734
0,1,10.525433
0,1,10.531714
0,1,10.538347
0,1,10.575215
0,1,10.581753
0,1,10.588578
0,1,10.594614
0,1,10.601342
0,1,10.640169
0,1,10.646463
0,1,10.653051
0,1,10.659594
0,1,10.665846
0,1,10.702637
0,1,10.709122
0,1,10.715386
0,1,10.721865
0,1,10.728482
5,1,10.765874
0,1,10.7723
0,1,10.778736
0,1,10.784998
0,1,10.7919
0,1,10.83215
0,1,10.83867
0,1,10.845329
0,1,10.852053
