#{"t_start": 1608093715.530412, "env_id": null}
r,l,t
0,1,2.276151
0,1,2.290778
0,1,2.29833
0,1,2.308864
0,1,2.318316
5,1,5.51373
0,1,5.520489
0,1,5.530704
0,1,5.543355
0,1,5.549507
0,1,5.596745
0,1,5.603667
0,1,5.615674
0,1,5.621635
0,1,5.627971
0,1,5.668225
0,1,5.674721
0,1,5.68226
0,1,5.687764
0,1,5.693499
0,1,5.732829
0,1,5.739032
0,1,5.745522
0,1,5.751641
0,1,5.757357
0,1,5.793113
0,1,5.799067
0,1,5.805667
0,1,5.811795
0,1,5.817872
0,1,5.855712
0,1,5.862678
0,1,5.868712
0,1,5.874371
0,1,5.879982
0,1,5.916569
0,1,5.922797
0,1,5.928825
0,1,5.935526
0,1,5.941408
0,1,5.981692
0,1,5.988838
0,1,5.995561
0,1,6.001965
0,1,6.00828
0,1,6.046068
0,1,6.051981
0,1,6.057536
0,1,6.06475
0,1,6.071318
0,1,6.109904
0,1,6.116265
0,1,6.122281
0,1,6.128764
0,1,6.135009
0,1,6.170972
0,1,6.177972
0,1,6.184013
0,1,6.189609
0,1,6.195663
0,1,6.233648
0,1,6.239192
0,1,6.245866
0,1,6.252137
0,1,6.258005
0,1,6.293443
0,1,6.303173
0,1,6.309486
0,1,6.317434
0,1,6.324065
0,1,6.360505
0,1,6.366688
0,1,6.372859
0,1,6.379423
0,1,6.386185
0,1,6.422332
0,1,6.428691
0,1,6.43501
0,1,6.441198
0,1,6.447018
0,1,6.483893
0,1,6.490003
0,1,6.496355
0,1,6.502981
0,1,6.509146
0,1,6.548009
0,1,6.553799
0,1,6.560783
0,1,6.566762
0,1,6.573565
0,1,6.610352
0,1,6.616358
0,1,6.622744
0,1,6.628672
0,1,6.635552
0,1,6.675982
0,1,6.682964
0,1,6.689504
0,1,6.6955
0,1,6.70186
0,1,6.739003
0,1,6.74546
0,1,6.752254
0,1,6.759146
0,1,6.765139
0,1,6.802632
0,1,6.808774
0,1,6.814837
0,1,6.821438
0,1,6.827985
0,1,6.864464
0,1,6.870539
0,1,6.87679
0,1,6.883167
0,1,6.889602
0,1,6.926044
0,1,6.931695
0,1,6.938395
0,1,6.944841
0,1,6.951214
0,1,6.988157
0,1,6.994634
0,1,7.001007
0,1,7.007586
0,1,7.013961
0,1,7.050696
0,1,7.057179
0,1,7.063964
0,1,7.070651
0,1,7.07712
0,1,7.111765
0,1,7.118012
0,1,7.12406
0,1,7.12978
0,1,7.137016
0,1,7.17387
0,1,7.181424
0,1,7.187753
0,1,7.194396
0,1,7.201176
0,1,7.23806
0,1,7.244882
0,1,7.251496
0,1,7.257197
0,1,7.263635
0,1,7.303432
0,1,7.309714
0,1,7.316081
5,1,7.322895
0,1,7.328898
0,1,7.365972
0,1,7.372289
5,1,7.378994
0,1,7.385267
0,1,7.391707
0,1,7.429699
0,1,7.436975
0,1,7.443129
0,1,7.449308
0,1,7.455701
0,1,7.490665
5,1,7.497297
0,1,7.503993
0,1,7.51017
0,1,7.516251
0,1,7.552116
0,1,7.558603
0,1,7.564791
0,1,7.571613
0,1,7.57799
0,1,7.615226
0,1,7.621514
0,1,7.627598
0,1,7.634304
0,1,7.64084
0,1,7.677386
0,1,7.683668
0,1,7.689574
0,1,7.696701
0,1,7.703342
0,1,7.741546
0,1,7.747547
0,1,7.753333
0,1,7.75982
0,1,7.766344
0,1,7.803816
0,1,7.810798
0,1,7.816819
0,1,7.822982
0,1,7.82958
0,1,7.866638
0,1,7.874024
0,1,7.879758
0,1,7.885845
0,1,7.892035
0,1,7.929275
0,1,7.935201
0,1,7.941667
0,1,7.949302
5,1,7.95546
0,1,7.99287
0,1,7.998971
0,1,8.004887
0,1,8.011129
0,1,8.018218
0,1,8.054816
0,1,8.060852
0,1,8.067125
0,1,8.073422
0,1,8.080085
0,1,8.116304
0,1,8.122931
0,1,8.128752
0,1,8.135421
0,1,8.14215
0,1,8.177785
0,1,8.184204
0,1,8.190337
0,1,8.196445
0,1,8.202843
0,1,8.242114
0,1,8.248743
0,1,8.254823
0,1,8.260679
0,1,8.267529
0,1,8.311176
0,1,8.317919
0,1,8.32484
0,1,8.331236
0,1,8.337987
0,1,8.375481
0,1,8.381706
0,1,8.387879
0,1,8.394005
0,1,8.40006
0,1,8.437255
0,1,8.443565
0,1,8.450036
0,1,8.455886
0,1,8.462546
0,1,8.49998
0,1,8.506594
0,1,8.512587
0,1,8.518896
0,1,8.52455
0,1,8.561899
0,1,8.568093
0,1,8.574155
0,1,8.580692
0,1,8.586566
0,1,8.62291
0,1,8.628867
0,1,8.636164
0,1,8.642521
0,1,8.649145
0,1,8.685211
0,1,8.691818
0,1,8.698206
0,1,8.704912
0,1,8.710432
0,1,8.746807
0,1,8.753243
0,1,8.759388
0,1,8.76515
0,1,8.772061
0,1,8.807338
0,1,8.814222
0,1,8.820857
0,1,8.827344
0,1,8.833575
0,1,8.871903
0,1,8.878413
0,1,8.885498
0,1,8.891494
0,1,8.897923
0,1,8.935271
0,1,8.941625
0,1,8.94866
0,1,8.955147
0,1,8.961554
0,1,8.999535
0,1,9.005766
0,1,9.011819
0,1,9.019191
0,1,9.02637
0,1,9.065178
0,1,9.072653
0,1,9.079228
0,1,9.085264
0,1,9.091161
0,1,9.129253
0,1,9.13618
0,1,9.142983
0,1,9.149821
0,1,9.155857
0,1,9.192262
0,1,9.198478
0,1,9.205005
0,1,9.211145
0,1,9.2181
0,1,9.253564
0,1,9.259953
0,1,9.26599
0,1,9.272398
0,1,9.282177
0,1,9.31817
0,1,9.324132
0,1,9.330601
0,1,9.336897
0,1,9.342827
0,1,9.378208
0,1,9.385587
0,1,9.391158
0,1,9.397003
0,1,9.402737
0,1,9.440195
0,1,9.446398
0,1,9.453151
0,1,9.459408
0,1,9.466258
0,1,9.503155
0,1,9.508876
0,1,9.515431
0,1,9.521629
0,1,9.527932
0,1,9.565494
0,1,9.572256
0,1,9.578241
0,1,9.585238
0,1,9.591452
0,1,9.627974
0,1,9.634847
0,1,9.640827
0,1,9.647164
0,1,9.653863
0,1,9.690854
0,1,9.697527
0,1,9.703917
0,1,9.709744
0,1,9.715775
0,1,9.750995
0,1,9.757576
0,1,9.763213
0,1,9.76951
0,1,9.776076
0,1,9.813005
0,1,9.819291
0,1,9.825371
0,1,9.831577
0,1,9.838293
0,1,9.872756
0,1,9.878498
0,1,9.885083
0,1,9.890979
0,1,9.897801
0,1,9.932285
0,1,9.939409
0,1,9.946265
0,1,9.952903
0,1,9.959104
0,1,9.995444
0,1,10.001853
0,1,10.008368
0,1,10.014817
0,1,10.021557
0,1,10.057473
0,1,10.064065
0,1,10.070332
0,1,10.077347
0,1,10.083442
0,1,10.12083
0,1,10.127074
0,1,10.133312
0,1,10.140147
0,1,10.146743
0,1,10.1829
0,1,10.189828
0,1,10.19593
0,1,10.20205
0,1,10.208374
0,1,10.243926
0,1,10.250306
0,1,10.257187
0,1,10.262951
0,1,10.269085
0,1,10.309541
0,1,10.316466
0,1,10.322831
0,1,10.329885
0,1,10.336436
0,1,10.372538
0,1,10.378501
0,1,10.389377
0,1,10.395571
0,1,10.402944
0,1,10.438163
0,1,10.444678
0,1,10.450963
0,1,10.457597
0,1,10.464002
0,1,10.499922
0,1,10.506305
0,1,10.51321
0,1,10.51909
0,1,10.525945
0,1,10.562219
0,1,10.568726
0,1,10.574918
0,1,10.581227
0,1,10.587871
0,1,10.624737
0,1,10.631829
0,1,10.638066
0,1,10.644213
0,1,10.650868
0,1,10.689715
5,1,10.696587
0,1,10.702837
0,1,10.70909
0,1,10.71533
0,1,10.752822
0,1,10.758562
0,1,10.764992
0,1,10.771282
0,1,10.778128
0,1,10.815246
0,1,10.822451
0,1,10.82823
0,1,10.834556
0,1,10.841843
